,terms,country,date
35015,china,France,2020-02-02
35016,outbreak,France,2020-02-02
35017,allah,France,2020-02-02
35018,virus,France,2020-02-02
35019,t,France,2020-02-02
35020,wenliang,France,2020-02-02
35021,death,France,2020-02-02
35022,toll,France,2020-02-02
35023,cruise,France,2020-02-02
35024,don,France,2020-02-02
35025,people,France,2020-02-02
35026,like,France,2020-02-02
35027,muslims,France,2020-02-02
35028,#chinavirus,France,2020-02-02
35029,2019,France,2020-02-02
35030,#hongkong,France,2020-02-02
35031,new,France,2020-02-02
35032,uighur,France,2020-02-02
35033,kong,France,2020-02-02
35034,#coronoavirus,France,2020-02-02
35035,hong,France,2020-02-02
35036,li,France,2020-02-02
35037,@unntv1,France,2020-02-02
35038,#equity,France,2020-02-02
35039,#british,France,2020-02-02
35040,amp,France,2020-02-02
35041,u,France,2020-02-02
35042,strange,France,2020-02-02
35043,news,France,2020-02-02
35044,ncov,France,2020-02-02
35045,stop,France,2020-02-02
35046,health,France,2020-02-02
35047,million,France,2020-02-02
35048,need,France,2020-02-02
35049,tyler,France,2020-02-02
35050,just,France,2020-02-02
35051,world,France,2020-02-02
35052,defeated,France,2020-02-02
35053,british,France,2020-02-02
35054,dead,France,2020-02-02
35055,claims,France,2020-02-02
35056,ship,France,2020-02-02
35057,masks,France,2020-02-02
35058,ppl,France,2020-02-02
35059,alcohol,France,2020-02-02
35060,infects,France,2020-02-02
35061,man,France,2020-02-02
35062,amid,France,2020-02-02
35063,honey,France,2020-02-02
35064,#liwenliang,France,2020-02-02
35065,died,France,2020-02-02
35066,global,France,2020-02-02
35067,flu,France,2020-02-02
35068,france,France,2020-02-02
35069,said,France,2020-02-02
35070,dies,France,2020-02-02
35071,know,France,2020-02-02
35072,cases,France,2020-02-02
35073,2,France,2020-02-02
35074,says,France,2020-02-02
35075,home,France,2020-02-02
35076,spread,France,2020-02-02
35077,epidemic,France,2020-02-02
35078,racist,France,2020-02-02
35079,latest,France,2020-02-02
35080,explained,France,2020-02-02
35081,university,France,2020-02-02
35082,#corona,France,2020-02-02
35083,hospital,France,2020-02-02
35084,discriminate,France,2020-02-02
35085,day,France,2020-02-02
35086,help,France,2020-02-02
35087,american,France,2020-02-02
35088,illness,France,2020-02-02
35089,mha,France,2020-02-02
35090,original,France,2020-02-02
35091,novel,France,2020-02-02
35092,m,France,2020-02-02
35093,japan,France,2020-02-02
35094,think,France,2020-02-02
35095,patients,France,2020-02-02
35096,won,France,2020-02-02
35097,quarantine,France,2020-02-02
35098,french,France,2020-02-02
35099,dr,France,2020-02-02
35100,#japan,France,2020-02-02
35101,#ontario,France,2020-02-02
35102,#princesscruises,France,2020-02-02
35103,hero,France,2020-02-02
35104,use,France,2020-02-02
35105,family,France,2020-02-02
35106,reports,France,2020-02-02
35107,market,France,2020-02-02
35108,owns,France,2020-02-02
35109,media,France,2020-02-02
35110,face,France,2020-02-02
35111,fear,France,2020-02-02
35112,201,France,2020-02-02
35113,whistleblower,France,2020-02-02
35114,countries,France,2020-02-02
35115,infected,France,2020-02-02
35116,exhibition,France,2020-02-02
35117,stay,France,2020-02-02
35118,7,France,2020-02-02
35119,hospitals,France,2020-02-02
35120,live,France,2020-02-02
35121,make,France,2020-02-02
35122,boy,France,2020-02-02
35123,uk,France,2020-02-02
35124,singapore,France,2020-02-02
35125,disabled,France,2020-02-02
35126,real,France,2020-02-02
35127,l,France,2020-02-02
35128,mexico,France,2020-02-02
35129,isolation,France,2020-02-02
35130,#coronavirusph,France,2020-02-02
35131,#toronto,France,2020-02-02
35132,taiwan,France,2020-02-02
35133,study,France,2020-02-02
35134,citizens,France,2020-02-02
35135,ve,France,2020-02-02
35136,corona,France,2020-02-02
35137,hand,France,2020-02-02
35138,biotech,France,2020-02-02
35139,undetected,France,2020-02-02
35140,1,France,2020-02-02
35141,japanese,France,2020-02-02
35142,video,France,2020-02-02
35143,#stocks,France,2020-02-02
35144,gonna,France,2020-02-02
35145,diagnosed,France,2020-02-02
35146,government,France,2020-02-02
35147,js,France,2020-02-02
35148,old,France,2020-02-02
35149,spreading,France,2020-02-02
35150,le,France,2020-02-02
35151,trump,France,2020-02-02
35152,doing,France,2020-02-02
35153,d,France,2020-02-02
35154,apology,France,2020-02-02
35155,friends,France,2020-02-02
35156,week,France,2020-02-02
35157,thanks,France,2020-02-02
35158,anime,France,2020-02-02
35159,say,France,2020-02-02
35160,way,France,2020-02-02
35161,impact,France,2020-02-02
35162,#xijingping,France,2020-02-02
35163,manga,France,2020-02-02
35164,report,France,2020-02-02
35165,forces,France,2020-02-02
35166,sparks,France,2020-02-02
35167,near,France,2020-02-02
35168,#coronavirusfrance,France,2020-02-02
35169,#2019ncov,France,2020-02-02
35170,#ai,France,2020-02-02
35171,want,France,2020-02-02
35172,sur,France,2020-02-02
35173,external,France,2020-02-02
35174,spikes,France,2020-02-02
35175,bc,France,2020-02-02
35176,sure,France,2020-02-02
35177,ccp,France,2020-02-02
35178,paper,France,2020-02-02
35179,treated,France,2020-02-02
35180,ur,France,2020-02-02
35181,sounded,France,2020-02-02
35182,symptoms,France,2020-02-02
35183,year,France,2020-02-02
35184,really,France,2020-02-02
35185,banned,France,2020-02-02
35186,going,France,2020-02-02
35187,bad,France,2020-02-02
35188,fake,France,2020-02-02
35189,fucking,France,2020-02-02
35190,worse,France,2020-02-02
35191,#biotech,France,2020-02-02
35192,invited,France,2020-02-02
35193,isn,France,2020-02-02
35194,8,France,2020-02-02
35195,brains,France,2020-02-02
35196,20,France,2020-02-02
35197,#superbowl,France,2020-02-02
35198,@dbongino,France,2020-02-02
35199,rumours,France,2020-02-02
35200,little,France,2020-02-02
35201,got,France,2020-02-02
35202,fight,France,2020-02-02
35203,including,France,2020-02-02
35204,lives,France,2020-02-02
35205,delayed,France,2020-02-02
35206,passenger,France,2020-02-02
35207,concerns,France,2020-02-02
35208,xi,France,2020-02-02
35209,situation,France,2020-02-02
35210,sick,France,2020-02-02
35211,years,France,2020-02-02
35212,justice,France,2020-02-02
35213,paris,France,2020-02-02
35214,prank,France,2020-02-02
35215,youtuber,France,2020-02-02
35216,warned,France,2020-02-02
35217,big,France,2020-02-02
35218,#breaking,France,2020-02-02
35219,supply,France,2020-02-02
35220,worry,France,2020-02-02
35221,deaths,France,2020-02-02
35222,hope,France,2020-02-02
35223,time,France,2020-02-02
35224,post,France,2020-02-02
35225,comparing,France,2020-02-02
35226,father,France,2020-02-02
35227,crossings,France,2020-02-02
35228,joining,France,2020-02-02
35229,break,France,2020-02-02
35230,believe,France,2020-02-02
35231,god,France,2020-02-02
35232,eat,France,2020-02-02
35233,britons,France,2020-02-02
35234,days,France,2020-02-02
35235,united,France,2020-02-02
35236,human,France,2020-02-02
35237,probably,France,2020-02-02
35238,#coronarovirus,France,2020-02-02
35239,zone,France,2020-02-02
35240,look,France,2020-02-02
35241,alps,France,2020-02-02
35242,#f24,France,2020-02-02
35243,@chgocadchic,France,2020-02-02
35244,oil,France,2020-02-02
35245,disease,France,2020-02-02
35246,using,France,2020-02-02
35247,stranded,France,2020-02-02
35248,hey,France,2020-02-02
35249,rest,France,2020-02-02
35250,infection,France,2020-02-02
35251,@youtube,France,2020-02-02
35252,challenge,France,2020-02-02
35253,5,France,2020-02-02
35254,reported,France,2020-02-02
35255,panic,France,2020-02-02
35256,saw,France,2020-02-02
35257,activity,France,2020-02-02
35258,shop,France,2020-02-02
35259,mean,France,2020-02-02
35260,y,France,2020-02-02
35261,die,France,2020-02-02
35262,charged,France,2020-02-02
35263,deficit,France,2020-02-02
35264,europe,France,2020-02-02
35265,medical,France,2020-02-02
35266,money,France,2020-02-02
35267,thing,France,2020-02-02
35268,sir,France,2020-02-02
35269,standard,France,2020-02-02
35270,sharing,France,2020-02-02
35271,stores,France,2020-02-02
35272,wrong,France,2020-02-02
35273,mutates,France,2020-02-02
35274,early,France,2020-02-02
35275,group,France,2020-02-02
35276,mainland,France,2020-02-02
35277,read,France,2020-02-02
35278,confirmed,France,2020-02-02
35279,govt,France,2020-02-02
35280,social,France,2020-02-02
35281,la,France,2020-02-02
35282,joke,France,2020-02-02
35283,r,France,2020-02-02
35284,4,France,2020-02-02
35285,nyt,France,2020-02-02
35286,investigate,France,2020-02-02
35287,#cdnpoli,France,2020-02-02
35288,#frankfurt,France,2020-02-02
35289,#premier,France,2020-02-02
35290,@doriszelaya5,France,2020-02-02
35291,@lenlucas46,France,2020-02-02
35292,@pjamesjp1,France,2020-02-02
35293,@stillwaters777,France,2020-02-02
35294,@tgradous,France,2020-02-02
35295,ceemarketwatch,France,2020-02-02
35296,metallic,France,2020-02-02
35297,uniqlo,France,2020-02-02
35298,vaccine,France,2020-02-02
35299,let,France,2020-02-02
35300,fears,France,2020-02-02
35301,doctors,France,2020-02-02
35302,beer,France,2020-02-02
35303,citizen,France,2020-02-02
35304,leader,France,2020-02-02
35305,growth,France,2020-02-02
35306,good,France,2020-02-02
